occupational status,marital status , What is the highest grade or level of schooling you completed? ,6. 你是不是在美國出生？  Were you born in the United States? ,7. 你在哪一年來到美國居住？   In what year did you come to live in the United States? ,8. 你的英文說得多好？  How well do you speak English? ,9. 你來自哪裡？（中國的城市名或Other國家名）  Where are you from? (Chinese city name or other country name)  ,10. 你現在的家庭住址的郵政編碼是多少？    What is the zip code of your current household? ,household_income
Working,Married,Junior High,No,2014,Very Bad,Hong Kong,60616,"$15,000 至 $19,999"
Working,Cohabit,High School,No,2011,Good,???,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,2008,Very Bad,guang dong,60632,"$35,000 至 $49,999"
Housewife,Married,Primary School,No,2003,Very Bad,hu chen,60616,"$20,000 至 $34,999"
Working,Married,High School,No,1988,Not Good,guang dong,60608,"$35,000 至 $49,999"
Working,Married,Vocational or technical school after high school,No,2010,Not Good,sun yang,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,2002,Very Bad,taishan,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2012,Very Bad,gangdon,60608,"$20,000 至 $34,999"
Other,Married,Vocational or technical school after high school,No,2012,Not Good,Dalin,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,1988,Not Good,zhongshan,60616,"$35,000 至 $49,999"
Working,Divorced,High School,No,1998,Good,gangdon,60605,"$20,000 至 $34,999"
Working,Married,Junior High,No,2005,Not Good,gongdong,60632,"$20,000 至 $34,999"
Working,Divorced,High School,No,2010,Not Good,hu bing,60608,"$20,000 至 $34,999"
Working,Married,Primary School,No,1989,Very Bad,hong Kong,60608,"$35,000 至 $49,999"
Working,Married,Junior High,No,1980,Not Good,gongdong,60616,"$20,000 至 $34,999"
Working,Married,University Graduate,No,2013,Not Good,big gau,60605,"$35,000 至 $49,999"
Unemployed,Single Never Married,High School,No,2006,Not Good,Guangdong,60609,"$20,000 至 $34,999"
